mso:sports.league_participation	mso:sports.league_participation.league	mso:sports.league
mso:computer.manufacturer_brand	mso:computer.manufacturer_brand.computer_lines	mso:computer.computer
experimental:fb_schema_staging.written_work_extra	experimental:fb_schema_staging.written_work_extra.author	experimental:fb_schema_staging.written_work_author_credit
dev:local.accommodation_rate_detail	dev:local.accommodation_rate_detail.observation_date	mso:type.datetime
mso:rail.rolling_stock_tenure	mso:rail.rolling_stock_tenure.railway	mso:rail.railway
mso:government.election_poll_score	mso:government.election_poll_score.score	mso:type.decimal
mso:book.contents	mso:book.contents.work	mso:book.written_work
mso:location.partially_contains_relationship	mso:location.partially_contains_relationship.contained_location	mso:location.location
mso:military.unit	mso:military.unit.role	mso:military.unit_size
mso:medicine.disease_stage	mso:medicine.disease_stage.stage_number	mso:type.decimal
mso:aviation.airline	mso:aviation.airline.iata_airline_designator	mso:aviation.iata_airline_designator
mso:cvg.game_version	mso:cvg.game_version.computer_game_region	mso:cvg.computer_game_region
mso:biology.genome_build	mso:biology.genome_build.genome_curator	mso:biology.genome_curator
mso:event.event	mso:event.event.score	mso:event.score
mso:commerce.electronics_product	mso:commerce.electronics_product.wireless_interface	mso:type.string
mso:adult.porn_star	mso:adult.porn_star.facts	mso:type.text
mso:geography.lake	mso:geography.lake.no_islands	mso:type.decimal
mso:soccer.player	mso:soccer.player.national_career_roster	mso:sports.sports_team_roster
experimental:fb_schema_staging.book_refactor_transformation	experimental:fb_schema_staging.book_refactor_transformation.original_work	experimental:fb_schema_staging.book_refactor_transformed_work
mso:cvg.computer_videogame	mso:cvg.computer_videogame.peripherals_supported	mso:computer.peripheral
mso:cricket.coach_tenure	mso:cricket.coach_tenure.start_date	mso:type.datetime
experimental:fb_schema_staging.votable_referendum_entity	experimental:fb_schema_staging.votable_referendum_entity.referendum	experimental:fb_schema_staging.referendum
mso:measurement_unit.time_unit	mso:measurement_unit.time_unit.time_in_seconds	mso:type.decimal
mso:event.play_audio_action	mso:event.play_audio_action.radio_station	mso:broadcast.radio_station
mso:military.gun	mso:military.gun.effective_firing_range	mso:type.decimal
mso:finance.stock_exchange	mso:finance.stock_exchange.primary_regions	mso:location.location
mso:architecture.museum	mso:architecture.museum.type_of_museum	mso:architecture.type_of_museum
mso:computer.motherboard	mso:computer.motherboard.compatible_processors	mso:computer.processor
experimental:fb_schema_staging.app_variant	experimental:fb_schema_staging.app_variant.video	mso:type.uri
mso:american_football.historical_coach_position	mso:american_football.historical_coach_position.team	mso:american_football.team
mso:automotive.transmission	mso:automotive.transmission.overdrive	mso:type.boolean
mso:film.film_romantic_relationship	mso:film.film_romantic_relationship.romantic_relationship_type	mso:people.romantic_relationship_type
mso:automotive.model_year	mso:automotive.model_year.warranty	mso:automotive.warranty
mso:cricket.umpire_panel_membership	mso:cricket.umpire_panel_membership.umpire	mso:cricket.umpire
mso:film.story_contributor	mso:film.story_contributor.film_story_credit	mso:film.film
mso:local.accommodation	mso:local.accommodation.book_room	mso:event.reserve_action
mso:common.permit	mso:common.permit.issuer	mso:event.agent
mso:architecture.architect	mso:architecture.architect.structure	mso:architecture.structure
local:local.venue	local:local.venue.drawing_id	mso:type.decimal
experimental:fb_schema_staging.golfer_extra	experimental:fb_schema_staging.golfer_extra.caddies	experimental:fb_schema_staging.golfer_caddie_relationship
experimental:fb_schema_staging.food_energy_information	experimental:fb_schema_staging.food_energy_information.energy	mso:type.decimal
mso:media_common.quotation	mso:media_common.quotation.date	mso:type.datetime
mso:application.mobile_application	mso:application.mobile_application.carrier_requirements	mso:type.text
mso:computer.uml_tool	mso:computer.uml_tool.xmi_export	mso:application.software_version
mso:film.cut	mso:film.cut.region	mso:location.location
mso:astronomy.meteorite	mso:astronomy.meteorite.source_celestial_body	mso:astronomy.meteorite_source
mso:astronomy.telescope_type	mso:astronomy.telescope_type.higher_classification	mso:astronomy.telescope_type
mso:basketball.team_stats	mso:basketball.team_stats.fgm	mso:type.decimal
mso:biology.gene_ontology_group	mso:biology.gene_ontology_group.aggregate_group	mso:biology.gene_ontology_group
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.sports	mso:type.text
mso:automotive.automotive_class	mso:automotive.automotive_class.front_track	mso:type.decimal
mso:biology.animal	mso:biology.animal.tail_length	mso:measurement_unit.qualified_value
mso:law.judge	mso:law.judge.cases	mso:law.legal_case
mso:government.political_ideology	mso:government.political_ideology.political_parties	mso:government.political_party
mso:automotive.generation	mso:automotive.generation.manufacturing_plant	mso:automotive.manufacturing_plant
mso:commerce.speaker	mso:commerce.speaker.nominal_output_power	mso:type.decimal
mso:statistics.count_of_type	mso:statistics.count_of_type.date	mso:type.datetime
